,time_s,r,g,b
81,0.16875,0.0005851077410130719,0.002134570950776144,0.001408799115349265
82,0.17083333333333334,0.0005607774522569445,0.002237022250306373,0.0014378007876327617
83,0.17291666666666666,0.0005883948631535948,0.002239551419526144,0.0014454281875510623
84,0.175,0.0005789563546772876,0.0022656768599366834,0.0014741506140216504
85,0.17708333333333334,0.0006177475873161766,0.0022882040185866017,0.0014980740017361113
86,0.17916666666666667,0.000636676464205474,0.0025481699027267157,0.001618496763939951
87,0.18125,0.0007200552747140523,0.0026816733366523695,0.0017386043772977943
88,0.18333333333333332,0.0007188066470077615,0.002773505316840278,0.001804538302951389
89,0.18541666666666667,0.0007871819789113562,0.0029272301368464056,0.0019080228119893793
90,0.1875,0.0007522602953941994,0.003049827027165033,0.001930753421160131
