Th_cal,frame,B,M,S,Order,Bit_amount,error_count(near),BER_(near),0->1_(near),1->0_(near),bit amount, error_count(far),BER_(far),0->1_(far),1->0_(far)
,,,,,,998,19,0.01903807615230461,5,14,998,1,0.001002004008016032,1,0
MinMax,61,182,123,46.5,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,14,0.014028056112224449,9,5,998,4,0.004008016032064128,0,4
MinMax,61,187,122,51.5,HFNL,142,3,0.02112676056338028,2,1,142,0,0,0,0
,,,,,,998,11,0.011022044088176353,5,6,998,2,0.002004008016032064,1,1
MinMax,61,186.5,119,45,HFNL,142,3,0.02112676056338028,1,2,142,0,0,0,0
,,,,,,998,15,0.01503006012024048,7,8,998,0,0,0,0
MinMax,61,183.5,111,46.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,17,0.017034068136272545,4,13,998,5,0.00501002004008016,5,0
MinMax,61,182,113.5,47.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,10,0.01002004008016032,8,2,998,1,0.001002004008016032,0,1
MinMax,61,182,115.5,47,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,12,0.012024048096192385,11,1,998,0,0,0,0
MinMax,61,180.5,130.5,47.5,HFNL,142,7,0.04929577464788732,5,2,142,4,0.028169014084507043,1,3
,,,,,,998,22,0.022044088176352707,19,3,998,12,0.012024048096192385,0,12
MinMax,61,185.5,116,46,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,12,0.012024048096192385,5,7,998,0,0,0,0
MinMax,61,185.5,119,51.5,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,8,0.008016032064128256,4,4,998,2,0.002004008016032064,0,2
MinMax,61,180,124,44,HFNL,142,3,0.02112676056338028,2,1,142,0,0,0,0
,,,,,,998,19,0.01903807615230461,19,0,998,5,0.00501002004008016,0,5
MinMax,61,191.5,115.5,51,HFNL,142,0,0,0,0,142,0,0,0,0
